Six Flags Magic Mountain,20,34.42535702998559, -118.59720837310198,#000000
Cedar Point,17,41.48405225048708, -82.68742401829488,#a9a9a9
Six Flags Great America,15,42.37062870566341, -87.93599391527131,#2f4f4f
Carowinds,14,35.10461788957595, -80.93951537405174,#556b2f
Six Flags Over Texas,14,32.75656845827838, -97.0678669019667,#8b4513
Six Flags Great Adventure,14,40.13603587230205, -74.43615217299087,#6b8e23
Kings Island,14,39.34331510124118, -84.26641590122689,#228b22
Kings Dominion,13,37.83959170797992, -77.44443850335506,#191970
Hersheypark,13,40.28887629667677, -76.65450287777894,#808000
Six Flags Over Georgia,11,33.77053934356184, -84.55088045831698,#483d8b
Six Flags Fiesta Texas,11,29.599067041071585, -98.60682843037358,#b22222
Six Flags New England,11,42.03804114752394, -72.61376289384131,#778899
Lagoon,11,40.98559639228485, -111.89528795523458,#3cb371
Six Flags Discovery Kingdom,10,38.137732533846645, -122.23367452090923,#bc8f8f
Dollywood,10,35.79507333705592, -83.53116838145901,#663399
Busch Gardens Williamsburg,10,37.2363110209357, -76.64584385770686,#008080
Busch Gardens Tampa,10,28.036832651463477, -82.41940250566103,#bdb76b
Knott's Berry Farm,10,33.84417902828029, -118.00029087496185,#4682b4
Six Flags America,9,38.90604468814675, -76.77253958650937,#d2691e
California's Great America,9,37.39836246319374, -121.97509232886806,#9acd32
Six Flags St. Louis,9,38.51290162998096, -90.67493227117467,#00008b
Worlds of Fun,8,39.176190239660194, -94.48630538529794,#32cd32
Kennywood,8,40.385967903630814, -79.86160387820374,#daa520
Luna Park,8,40.57513447651441, -73.97855782955877,#7f007f
Six Flags Darien Lake,8,42.92918329038109, -78.38454552450665,#8fbc8f
Valleyfair!,8,44.7986436095764, -93.45365901521595,#b03060
SeaWorld Orlando,7,28.40993179480542, -81.45923641128259,#d2b48c
Adventureland,7,28.418295247434877, -81.58297000203464,#66cdaa
Michigan's Adventure,7,43.3414145833639, -86.2701268501799,#9932cc
Indiana Beach,7,40.791091483139205, -86.7712492576344,#ff0000
Morey's Piers,7,38.98556973553368, -74.80930128236638,#00ced1
Dorney Park & Wildwater Kingdom,7,40.578487474230414, -75.53324567668068,#ffa500
Silver Dollar City,7,36.66698635093019, -93.33898207675963,#ffd700
Silverwood Theme Park,7,47.907246652236424, -116.7025047728121,#ffff00
Six Flags Great Escape,6,43.35014967757367, -73.6918451565475,#c71585
Knoebels Amusement Resort,6,40.87740300903434, -76.5039374429761,#0000cd
Elitch Gardens,6,39.75002625291096, -105.01012024416328,#7cfc00
Kentucky Kingdom,6,38.19770152439694, -85.74488425523948,#00ff00
Wild Adventures,6,30.719206677816928, -83.32245470199996,#ba55d3
SeaWorld San Antonio,6,29.458290472581808, -98.69787964415778,#00ff7f
SeaWorld San Diego,6,32.76075045594683, -117.23674697447476,#4169e1
Universal Studios Islands of Adventure,5,28.47186084487851, -81.47092028838868,#e9967a
Nickelodeon Universe Theme Park,5,40.806802075120586, -74.07072274229142,#dc143c
Mt. Olympus Water & Theme Park,5,43.625176294252576, -89.79584893387286,#00ffff
Waldameer,5,42.10813524858804, -80.15575666532543,#00bfff
Frontier City,5,35.58560630388686, -97.43912317897332,#f4a460
Lake Compounce,5,41.64512054446139, -72.91264510715257,#9370db
Magic Springs Theme and Water Park,5,34.51977435922171, -93.01722754254975,#0000ff
Lakeside Amusement Park,5,39.778408488220855, -105.0541475335855,#a020f0
Cotaland,5,30.13455294539051, -97.63607640741098,#ff6347
Playland Park,5,40.96516618360855, -73.67525384764305,#d8bfd8
Wonderland Amusement Park,5,35.23557784701849, -101.83947436413914,#ff00ff
Walt Disney World - Magic Kingdom,5,28.41930285174407, -81.58181705198497,#db7093
Holiday World,5,38.1187273982389, -86.91583155953913,#f0e68c
Nickelodeon Universe,5,44.85471103806499, -93.24203932928684,#fa8072
Casino Pier,4,39.94275322812539, -74.07074791717312,#6495ed
Playland's Castaway Cove,4,39.27417480139219, -74.574480876708,#dda0dd
Glenwood Caverns Adventure Park,4,39.553480607218475, -107.3324353711534,#90ee90
Little Amerricka,4,43.16468046523871, -89.05931745333702,#add8e6
Fun Spot America,4,28.465704611815006, -81.45540341500299,#ff1493
Legoland Florida,4,27.9874042781117, -81.690747386499,#ee82ee
Wild Waves Theme & Water Park,4,47.27302912654331, -122.31209091755193,#87cefa
Seabreeze,4,43.23189019334854, -77.54243178826593,#7fffd4
Disneyland,4,33.81081616027185, -117.91798348722165,#ff69b4
Six Flags New Orleans,4,29.950029192958258, -90.08478978235044,#fff8dc
Universal Studios Florida,4,28.475404620723417, -81.46770418854076,#ffb6c1
